"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"30-Nov-2006","-","-","-","     2712.36","        6813442","          309.50"
"01-Dec-2006","-","-","-","     2752.05","        3364955","          175.64"
"04-Dec-2006","-","-","-","     2765.89","        3171293","          163.77"
"05-Dec-2006","-","-","-","     2760.46","        2712531","          149.14"
"06-Dec-2006","-","-","-","     2741.33","        4321564","          203.09"
"07-Dec-2006","-","-","-","     2732.84","        3083011","          165.01"
"08-Dec-2006","-","-","-","     2719.07","        4289854","          216.86"
"11-Dec-2006","-","-","-","     2654.49","        4055612","          193.60"
"12-Dec-2006","-","-","-","     2572.62","        5449147","          246.45"
"13-Dec-2006","-","-","-","     2613.92","        4083342","          207.62"
"14-Dec-2006","-","-","-","     2665.97","        3376558","          185.78"
"15-Dec-2006","-","-","-","     2696.04","        2969367","          172.97"
"18-Dec-2006","-","-","-","     2716.31","        4721403","          233.40"
"19-Dec-2006","-","-","-","     2674.36","        4141585","          212.90"
"20-Dec-2006","-","-","-","     2666.97","        3661970","          175.71"
"21-Dec-2006","-","-","-","     2699.03","        3430661","          163.26"
"22-Dec-2006","-","-","-","     2720.99","        2844928","          153.50"
"26-Dec-2006","-","-","-","     2757.84","        2825036","          141.49"
"27-Dec-2006","-","-","-","     2785.95","        5060494","          243.16"
"28-Dec-2006","-","-","-","     2759.39","        5928536","          321.45"
"29-Dec-2006","-","-","-","     2769.83","        2973088","          160.13"
