"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Oct-1997","        0.00","        0.00","        0.00","     2693.37","         456106","           10.11"
"03-Oct-1997","        0.00","        0.00","        0.00","     2627.76","         694632","           13.28"
"06-Oct-1997","        0.00","        0.00","        0.00","     2703.22","         377036","           16.05"
"07-Oct-1997","        0.00","        0.00","        0.00","     2676.95","         445413","           15.46"
"08-Oct-1997","        0.00","        0.00","        0.00","     2642.95","         344481","           12.72"
"09-Oct-1997","        0.00","        0.00","        0.00","     2644.07","         276249","            8.02"
"10-Oct-1997","        0.00","        0.00","        0.00","     2690.00","         349571","           11.10"
"13-Oct-1997","        0.00","        0.00","        0.00","     2751.93","         578206","           15.36"
"14-Oct-1997","        0.00","        0.00","        0.00","     2672.94","         339090","           10.29"
"15-Oct-1997","        0.00","        0.00","        0.00","     2671.96","         351848","           24.76"
"16-Oct-1997","        0.00","        0.00","        0.00","     2660.86","         337166","           14.70"
"17-Oct-1997","        0.00","        0.00","        0.00","     2681.62","         473927","           20.11"
"20-Oct-1997","        0.00","        0.00","        0.00","     2847.35","         402252","           11.36"
"21-Oct-1997","        0.00","        0.00","        0.00","     2824.42","         267780","            7.50"
"22-Oct-1997","        0.00","        0.00","        0.00","     2824.82","         253243","           11.84"
"23-Oct-1997","        0.00","        0.00","        0.00","     2745.63","         291000","            8.77"
"24-Oct-1997","        0.00","        0.00","        0.00","     2687.31","         397241","            9.04"
"27-Oct-1997","        0.00","        0.00","        0.00","     2688.21","         205936","            5.18"
"30-Oct-1997","        0.00","        0.00","        0.00","     2646.56","          80950","            2.94"
"03-Nov-1997","        0.00","        0.00","        0.00","     2603.48","         201872","            5.21"
"04-Nov-1997","        0.00","        0.00","        0.00","     2546.12","         243303","            7.24"
"05-Nov-1997","        0.00","        0.00","        0.00","     2423.00","         247390","            6.67"
"06-Nov-1997","        0.00","        0.00","        0.00","     2386.34","         269670","            9.39"
"07-Nov-1997","        0.00","        0.00","        0.00","     2391.24","         394088","            8.29"
"10-Nov-1997","        0.00","        0.00","        0.00","     2368.01","         902315","           17.21"
"11-Nov-1997","        0.00","        0.00","        0.00","     2394.38","         766363","           13.09"
"12-Nov-1997","        0.00","        0.00","        0.00","     2332.32","         261361","            5.49"
"13-Nov-1997","        0.00","        0.00","        0.00","     2292.45","         256374","            5.22"
"14-Nov-1997","        0.00","        0.00","        0.00","     2268.78","         247923","            4.37"
"17-Nov-1997","        0.00","        0.00","        0.00","     2257.57","         338224","            6.11"
"18-Nov-1997","        0.00","        0.00","        0.00","     2229.15","         338224","            6.11"
"19-Nov-1997","        0.00","        0.00","        0.00","     2224.49","         496367","            9.36"
"20-Nov-1997","        0.00","        0.00","        0.00","     2243.42","         342991","           10.37"
"21-Nov-1997","        0.00","        0.00","        0.00","     2297.40","         601991","           11.09"
"24-Nov-1997","        0.00","        0.00","        0.00","     2234.29","         631668","           10.15"
"25-Nov-1997","        0.00","        0.00","        0.00","     2313.73","         387144","            6.13"
"26-Nov-1997","        0.00","        0.00","        0.00","     2417.96","         395552","            5.96"
"27-Nov-1997","        0.00","        0.00","        0.00","     2491.92","         520235","            4.96"
"28-Nov-1997","        0.00","        0.00","        0.00","     2447.39","         373029","            7.78"
"01-Dec-1997","        0.00","        0.00","        0.00","     2477.00","         296944","            4.04"
"02-Dec-1997","        0.00","        0.00","        0.00","     2474.40","         482267","            5.65"
"03-Dec-1997","        0.00","        0.00","        0.00","     2484.03","         369121","            5.71"
"04-Dec-1997","        0.00","        0.00","        0.00","     2452.86","         242921","            4.26"
"05-Dec-1997","        0.00","        0.00","        0.00","     2370.25","         291446","            6.03"
"08-Dec-1997","        0.00","        0.00","        0.00","     2315.32","         416778","            6.96"
"09-Dec-1997","        0.00","        0.00","        0.00","     2303.65","         227676","            8.99"
"10-Dec-1997","        0.00","        0.00","        0.00","     2349.42","         564906","           14.22"
"11-Dec-1997","        0.00","        0.00","        0.00","     2258.16","         349618","           10.04"
"12-Dec-1997","        0.00","        0.00","        0.00","     2245.12","         203859","            5.38"
"15-Dec-1997","        0.00","        0.00","        0.00","     2242.38","         198151","            5.48"
"16-Dec-1997","        0.00","        0.00","        0.00","     2273.17","         260713","            7.88"
"17-Dec-1997","        0.00","        0.00","        0.00","     2315.07","         165346","            4.88"
"18-Dec-1997","        0.00","        0.00","        0.00","     2327.06","         258077","            4.26"
"19-Dec-1997","        0.00","        0.00","        0.00","     2317.12","         185868","            3.26"
"22-Dec-1997","        0.00","        0.00","        0.00","     2369.23","         158651","            5.05"
"23-Dec-1997","        0.00","        0.00","        0.00","     2380.73","         180735","            4.08"
"24-Dec-1997","        0.00","        0.00","        0.00","     2369.70","         167689","            2.82"
"26-Dec-1997","        0.00","        0.00","        0.00","     2380.70","         212144","            6.06"
"29-Dec-1997","        0.00","        0.00","        0.00","     2407.16","         128850","            2.85"
"30-Dec-1997","        0.00","        0.00","        0.00","     2375.34","         129815","            3.02"
